,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,5382.0,6375.0,6478.0,6212.0,6948.0,5745.0,6547.0,5477.0,5915.0,5267.0,5819.0,5733.0,5995.0,5663.0,5889.0,6215.0,524288
1,7975.0,7757.0,7768.0,7669.0,9797.0,8430.0,8793.0,8699.0,8791.0,6399.0,7555.0,7544.0,6972.0,7905.0,8056.0,8054.0,524288
2,2884.0,2503.0,2918.0,2443.0,4083.0,3010.0,3137.0,3615.0,4018.0,2161.0,2899.0,2768.0,2459.0,3344.0,3361.0,3267.0,524288
3,881.0,1153.0,1424.0,1331.0,1655.0,1098.0,1551.0,1495.0,1743.0,1027.0,1199.0,1245.0,1037.0,1495.0,1579.0,1681.0,131072
4,405.0,642.0,736.0,764.0,826.0,549.0,817.0,703.0,870.0,563.0,646.0,713.0,623.0,819.0,871.0,904.0,131072
5,55.0,168.0,222.0,226.0,275.0,121.0,233.0,167.0,218.0,160.0,152.0,197.0,147.0,214.0,219.0,260.0,32768
6,48.0,229.0,282.0,286.0,328.0,107.0,264.0,180.0,251.0,223.0,186.0,250.0,247.0,283.0,230.0,342.0,32768
7,1.0,21.0,36.0,39.0,37.0,5.0,14.0,18.0,25.0,29.0,25.0,42.0,44.0,39.0,20.0,50.0,8192
8,0.0,34.0,59.0,78.0,79.0,15.0,37.0,40.0,57.0,52.0,40.0,74.0,66.0,70.0,43.0,98.0,8192
9,0.0,0.0,1.0,2.0,5.0,0.0,2.0,1.0,3.0,1.0,2.0,0.0,3.0,5.0,2.0,5.0,2048
10,0.0,0.0,1.0,7.0,10.0,2.0,1.0,2.0,5.0,3.0,6.0,4.0,10.0,10.0,4.0,4.0,2048
11,0.0,0.0,27.0,5.0,5.0,17.0,8.0,8.0,16.0,5.0,7.0,19.0,5.0,10.0,14.0,8.0,512
12,0.0,0.0,4.0,3.0,0.0,7.0,1.0,0.0,6.0,0.0,1.0,10.0,2.0,6.0,4.0,1.0,512
13,12.0,20.0,20.0,20.0,15.0,24.0,14.0,22.0,18.0,21.0,16.0,22.0,15.0,23.0,17.0,23.0,128
14,5.0,20.0,17.0,16.0,12.0,17.0,15.0,14.0,20.0,14.0,14.0,14.0,16.0,13.0,16.0,11.0,128
